float,panel,row_label,column_label,stat,value_script
table_1,main,Civic Duty,Aug. 2006,est,0.018
table_1,main,Civic Duty,Nov. 2006,est,0.041
table_1,main,Civic Duty,Jan. 2008,est,0.278
table_1,main,Civic Duty,Aug. 2008,est,-0.105
table_1,main,Civic Duty,Nov. 2008,est,-0.078
table_1,main,Civic Duty,Aug. 2010,est,0.067
table_1,main,Civic Duty,Nov. 2010,est,-0.035
table_1,main,Civic Duty,Feb. 2012,est,-0.023
table_1,main,Civic Duty,Aug. 2012,est,-0.105
table_1,main,Civic Duty,Nov. 2012,est,-0.173
table_1,main,Civic Duty,Aug. 2006,se,0.003
table_1,main,Civic Duty,Nov. 2006,se,0.105
table_1,main,Civic Duty,Jan. 2008,se,0.180
table_1,main,Civic Duty,Aug. 2008,se,0.186
table_1,main,Civic Duty,Nov. 2008,se,0.098
table_1,main,Civic Duty,Aug. 2010,se,0.183
table_1,main,Civic Duty,Nov. 2010,se,0.151
table_1,main,Civic Duty,Feb. 2012,se,0.181
table_1,main,Civic Duty,Aug. 2012,se,0.187
table_1,main,Civic Duty,Nov. 2012,se,0.136
table_1,main,Hawthorne,Aug. 2006,est,0.025
table_1,main,Hawthorne,Nov. 2006,est,-0.014
table_1,main,Hawthorne,Jan. 2008,est,0.117
table_1,main,Hawthorne,Aug. 2008,est,0.118
table_1,main,Hawthorne,Nov. 2008,est,-0.109
table_1,main,Hawthorne,Aug. 2010,est,0.166
table_1,main,Hawthorne,Nov. 2010,est,-0.176
table_1,main,Hawthorne,Feb. 2012,est,0.114
table_1,main,Hawthorne,Aug. 2012,est,0.060
table_1,main,Hawthorne,Nov. 2012,est,-0.001
table_1,main,Hawthorne,Aug. 2006,se,0.003
table_1,main,Hawthorne,Nov. 2006,se,0.077
table_1,main,Hawthorne,Jan. 2008,se,0.130
table_1,main,Hawthorne,Aug. 2008,se,0.127
table_1,main,Hawthorne,Nov. 2008,se,0.073
table_1,main,Hawthorne,Aug. 2010,se,0.131
table_1,main,Hawthorne,Nov. 2010,se,0.115
table_1,main,Hawthorne,Feb. 2012,se,0.130
table_1,main,Hawthorne,Aug. 2012,se,0.131
table_1,main,Hawthorne,Nov. 2012,se,0.094
table_1,main,Self,Aug. 2006,est,0.050
table_1,main,Self,Nov. 2006,est,0.050
table_1,main,Self,Jan. 2008,est,0.133
