float,panel,row_label,column_label,stat,value_paper
table_a2,main,PA,Net Migrants,est,-1033
table_a2,main,PA,Nc 2008,est,95175
table_a2,main,PA,CACE 08-12,est,0.121
table_a2,main,PA,Bias Estimate,est,-0.001
table_a2,main,PA,Corrected CACE,est,0.122
table_a2,main,IA,Net Migrants,est,-517
table_a2,main,IA,Nc 2008,est,5318
table_a2,main,IA,CACE 08-12,est,0.086
table_a2,main,IA,Bias Estimate,est,-0.008
table_a2,main,IA,Corrected CACE,est,0.094
table_a2,main,CT,Net Migrants,est,-183
table_a2,main,CT,Nc 2008,est,22413
table_a2,main,CT,CACE 08-12,est,0.161
table_a2,main,CT,Bias Estimate,est,-0.001
table_a2,main,CT,Corrected CACE,est,0.162
table_a2,main,NV,Net Migrants,est,-182
table_a2,main,NV,Nc 2008,est,12465
table_a2,main,NV,CACE 08-12,est,0.174
table_a2,main,NV,Bias Estimate,est,-0.003
table_a2,main,NV,Corrected CACE,est,0.177
table_a2,main,RI,Net Migrants,est,-117
table_a2,main,RI,Nc 2008,est,6867
table_a2,main,RI,CACE 08-12,est,0.113
table_a2,main,RI,Bias Estimate,est,-0.002
table_a2,main,RI,Corrected CACE,est,0.115
table_a2,main,OK,Net Migrants,est,-50
table_a2,main,OK,Nc 2008,est,15584
table_a2,main,OK,CACE 08-12,est,0.138
table_a2,main,OK,Bias Estimate,est,-0.000
table_a2,main,OK,Corrected CACE,est,0.138
table_a2,main,NJ,Net Migrants,est,8
table_a2,main,NJ,Nc 2008,est,51983
table_a2,main,NJ,CACE 08-12,est,0.155
table_a2,main,NJ,Bias Estimate,est,0.000
table_a2,main,NJ,Corrected CACE,est,0.155
table_a2,main,MO,Net Migrants,est,17
table_a2,main,MO,Nc 2008,est,35535
table_a2,main,MO,CACE 08-12,est,0.155
table_a2,main,MO,Bias Estimate,est,0.000
table_a2,main,MO,Corrected CACE,est,0.155
table_a2,main,MT,Net Migrants,est,50
table_a2,main,MT,Nc 2008,est,6770
table_a2,main,MT,CACE 08-12,est,0.111
table_a2,main,MT,Bias Estimate,est,0.001
table_a2,main,MT,Corrected CACE,est,0.110
table_a2,main,KY,Net Migrants,est,133
table_a2,main,KY,Nc 2008,est,21964
table_a2,main,KY,CACE 08-12,est,0.075
table_a2,main,KY,Bias Estimate,est,0.000
table_a2,main,KY,Corrected CACE,est,0.075
table_a2,main,OR,Net Migrants,est,134
table_a2,main,OR,Nc 2008,est,17853
table_a2,main,OR,CACE 08-12,est,0.108
table_a2,main,OR,Bias Estimate,est,0.001
