arm,label,election,cace,se,type
treat1,Civic Duty,NOV2007,0.01358419638316976,0.006473612135585292,first_stage
treat2,Shown 05 Vote,NOV2007,0.05016550937356194,0.004711508209656164,first_stage
treat3,Shown 06 Vote,NOV2007,0.045090699211073046,0.004690037387304373,first_stage
treat1,Civic Duty,JAN2008,0.17971715104435065,0.4662692871688455,iv
treat1,Civic Duty,AUG2008,0.6423693588614384,0.46786458782288526,iv
treat1,Civic Duty,NOV2008,-0.016433142461099472,0.32647423409788473,iv
treat1,Civic Duty,AUG2010,0.8136071421697654,0.5223856334259713,iv
treat1,Civic Duty,NOV2010,-0.10098174938455709,0.4928994949827096,iv
treat1,Civic Duty,FEB2012,0.24844161677054297,0.42289100950605946,iv
treat1,Civic Duty,AUG2012,-0.3221186905163171,0.5391185910719294,iv
treat1,Civic Duty,NOV2012,-0.04163201547867641,0.4325684003094139,iv
treat2,Shown 05 Vote,JAN2008,0.3727880862735145,0.09089406095097331,iv
treat2,Shown 05 Vote,AUG2008,0.21825629813176492,0.08582520853170214,iv
treat2,Shown 05 Vote,NOV2008,0.06557650323451478,0.06153179192787338,iv
treat2,Shown 05 Vote,AUG2010,0.12148184810112196,0.09111638642456969,iv
treat2,Shown 05 Vote,NOV2010,0.0769212308070147,0.0894854679566954,iv
treat2,Shown 05 Vote,FEB2012,-0.147691508476461,0.08604969261103768,iv
treat2,Shown 05 Vote,AUG2012,-0.03551666040458705,0.09121332303126714,iv
treat2,Shown 05 Vote,NOV2012,0.13965887356694856,0.08090172655924069,iv
treat3,Shown 06 Vote,JAN2008,0.2976655107171826,0.10084159542614868,iv
treat3,Shown 06 Vote,AUG2008,0.11950002962938573,0.09694712077214845,iv
treat3,Shown 06 Vote,NOV2008,0.12829965989722303,0.06818444625315571,iv
treat3,Shown 06 Vote,AUG2010,0.03241698766612717,0.10330622365257915,iv
treat3,Shown 06 Vote,NOV2010,0.1812017362930618,0.09870494016748702,iv
treat3,Shown 06 Vote,FEB2012,-0.09603765789632387,0.09381050577973456,iv
treat3,Shown 06 Vote,AUG2012,-0.2347547213641343,0.1092901477889011,iv
treat3,Shown 06 Vote,NOV2012,0.06555670448386854,0.09141721065627276,iv
overid,All Together,JAN2008,0.33646807876464435,0.06746073955299078,overid
overid,All Together,AUG2008,0.18277386728138245,0.06415287958030931,overid
overid,All Together,NOV2008,0.0915018633331311,0.04568304175458379,overid
overid,All Together,AUG2010,0.09508284119890877,0.06813247951614933,overid
overid,All Together,NOV2010,0.11927169385392009,0.06626257557657973,overid
overid,All Together,FEB2012,-0.11795345897159809,0.06330944491499532,overid
overid,All Together,AUG2012,-0.12776502463041806,0.06999356619280592,overid
overid,All Together,NOV2012,0.10399787181174339,0.060643488243515196,overid
