hhsize,election,ctl_mean
1,aec_voted_2010p,0.30687447186094147
1,aec_voted_2010g,0.43702328662463946
1,aec_voted_2011cp,0.4044989036266169
1,aec_voted_2011ce,0.1511166088565073
1,aec_voted_2012p,0.1577987213277876
1,aec_voted_2012g,0.660074925109184
2,aec_voted_2010p,0.741511821434015
2,aec_voted_2010g,0.7349888738462621
2,aec_voted_2011cp,0.3559451054104811
2,aec_voted_2011ce,0.15413270254523753
2,aec_voted_2012p,0.17245955605560284
2,aec_voted_2012g,0.6445381686334215
3,aec_voted_2010p,0.4744938367414098
3,aec_voted_2010g,0.46479846489945487
3,aec_voted_2011cp,0.5819189819859663
3,aec_voted_2011ce,0.6798720040822569
3,aec_voted_2012p,0.2523773328159455
3,aec_voted_2012g,0.9492056067314801
