years_window,upstream_year,state,cace,se,type,fe_cace,fe_se,re_cace,re_se
00-12,00,AR,0.21384247733837705,0.1223101635902574,state,NA,NA,NA,NA
00-12,00,CO,NA,NA,state,NA,NA,NA,NA
00-12,00,CT,0.10566590376049244,0.09537691417928364,state,NA,NA,NA,NA
00-12,00,FL,0.17581444669735913,0.060623011709612595,state,NA,NA,NA,NA
00-12,00,FL05,NA,NA,state,NA,NA,NA,NA
00-12,00,IA,NA,NA,state,NA,NA,NA,NA
00-12,00,IL,0.2542115777692356,0.0466128239025802,state,NA,NA,NA,NA
00-12,00,KY,NA,NA,state,NA,NA,NA,NA
00-12,00,MI,NA,NA,state,NA,NA,NA,NA
00-12,00,MO,0.11686120090762453,0.03901817595553374,state,NA,NA,NA,NA
00-12,00,MO05,NA,NA,state,NA,NA,NA,NA
00-12,00,MT,0.3434049127002029,0.12261345297355321,state,NA,NA,NA,NA
00-12,00,NJ,NA,NA,state,NA,NA,NA,NA
00-12,00,NV,0.45748333760234355,0.14328096054412168,state,NA,NA,NA,NA
00-12,00,NY,NA,NA,state,NA,NA,NA,NA
00-12,00,OK,0.19486986700745923,0.10916344049262316,state,NA,NA,NA,NA
00-12,00,OR,NA,NA,state,NA,NA,NA,NA
00-12,00,PA,NA,NA,state,NA,NA,NA,NA
00-12,00,RI,NA,NA,state,NA,NA,NA,NA
02-12,02,AR,0.47962206283904413,0.1945955580271227,state,NA,NA,NA,NA
02-12,02,CO,NA,NA,state,NA,NA,NA,NA
02-12,02,CT,0.6082103846626004,0.19168960336515808,state,NA,NA,NA,NA
02-12,02,FL,0.04590383317001394,0.09574678207042066,state,NA,NA,NA,NA
02-12,02,FL05,NA,NA,state,NA,NA,NA,NA
02-12,02,IA,NA,NA,state,NA,NA,NA,NA
02-12,02,IL,0.32534919538813384,0.1001727685800964,state,NA,NA,NA,NA
02-12,02,KY,NA,NA,state,NA,NA,NA,NA
02-12,02,MI,NA,NA,state,NA,NA,NA,NA
02-12,02,MO,0.23769141184080667,0.095162816200403,state,NA,NA,NA,NA
02-12,02,MO05,NA,NA,state,NA,NA,NA,NA
02-12,02,MT,0.5137528333180696,0.15312735363487964,state,NA,NA,NA,NA
02-12,02,NJ,NA,NA,state,NA,NA,NA,NA
02-12,02,NV,0.6142785669739744,0.18809111118646632,state,NA,NA,NA,NA
02-12,02,NY,0.2078651287562115,0.07302096213274908,state,NA,NA,NA,NA
02-12,02,OK,0.28167739350782955,0.20982552540687066,state,NA,NA,NA,NA
02-12,02,OR,NA,NA,state,NA,NA,NA,NA
02-12,02,PA,NA,NA,state,NA,NA,NA,NA
02-12,02,RI,NA,NA,state,NA,NA,NA,NA
04-12,04,AR,0.14682175382096987,0.045363673401416775,state,NA,NA,NA,NA
04-12,04,CO,NA,NA,state,NA,NA,NA,NA
04-12,04,CT,0.10040818052859961,0.0266698626032111,state,NA,NA,NA,NA
04-12,04,FL,0.0598056756591009,0.022803802144856188,state,NA,NA,NA,NA
04-12,04,FL05,NA,NA,state,NA,NA,NA,NA
04-12,04,IA,-0.027663751390611373,0.115091912840486,state,NA,NA,NA,NA
04-12,04,IL,0.15037386401379096,0.021520676958412515,state,NA,NA,NA,NA
04-12,04,KY,NA,NA,state,NA,NA,NA,NA
04-12,04,MI,NA,NA,state,NA,NA,NA,NA
04-12,04,MO,0.04820490384969771,0.02286854301420866,state,NA,NA,NA,NA
04-12,04,MO05,NA,NA,state,NA,NA,NA,NA
04-12,04,MT,0.1962107960616149,0.05998699871240412,state,NA,NA,NA,NA
04-12,04,NJ,0.06286181364072257,0.020679831091339675,state,NA,NA,NA,NA
04-12,04,NV,0.13183221399072242,0.04181846922599436,state,NA,NA,NA,NA
04-12,04,NY,0.07055552702362354,0.012578298106838175,state,NA,NA,NA,NA
04-12,04,OK,0.1470049049552894,0.04167670536781303,state,NA,NA,NA,NA
04-12,04,OR,NA,NA,state,NA,NA,NA,NA
04-12,04,PA,0.24332449857776586,0.05386667694478483,state,NA,NA,NA,NA
04-12,04,RI,NA,NA,state,NA,NA,NA,NA
06-12,06,AR,0.19775021319042727,0.12697043096662675,state,NA,NA,NA,NA
06-12,06,CO,NA,NA,state,NA,NA,NA,NA
06-12,06,CT,0.17575740916724222,0.08023782983724022,state,NA,NA,NA,NA
06-12,06,FL,0.06045824053374205,0.04253900841177614,state,NA,NA,NA,NA
06-12,06,FL05,NA,NA,state,NA,NA,NA,NA
06-12,06,IA,0.2577040318184861,0.0775476858184678,state,NA,NA,NA,NA
06-12,06,IL,0.30850118674329186,0.07518552146138958,state,NA,NA,NA,NA
