election,cace,se,arm,label
NOV2008,0.08847298920094737,0.051812046306752964,norecontact,Shown Vote
AUG2010,0.09028327515124922,0.0762019196109128,norecontact,Shown Vote
NOV2010,0.114555488956792,0.07461510248278275,norecontact,Shown Vote
FEB2012,-0.14150904266119252,0.07117509112061232,norecontact,Shown Vote
AUG2012,-0.10837679713545267,0.07764319304796391,norecontact,Shown Vote
NOV2012,0.12990164655158956,0.06828503010468465,norecontact,Shown Vote
NOV2008,0.11871469237104906,0.09075792478118398,recontact,Shown Vote + Recontact
AUG2010,0.041447723346796285,0.12968235430063452,recontact,Shown Vote + Recontact
NOV2010,0.16677338130464348,0.12720394990238743,recontact,Shown Vote + Recontact
FEB2012,-0.05975151402828422,0.11612879007454593,recontact,Shown Vote + Recontact
AUG2012,-0.2038545157763361,0.1357532395081942,recontact,Shown Vote + Recontact
NOV2012,0.01659622313406132,0.12009265047767421,recontact,Shown Vote + Recontact
