years_window,upstream_year,downstream_year,state,cace,se,fe_cace,fe_se,re_cace,re_se
00-02,00,02,AR,0.1333251256680874,0.0489082329621932,NA,NA,NA,NA
00-02,00,02,CO,0.0862288598900767,0.02366013641163925,NA,NA,NA,NA
00-02,00,02,CT,0.11726661699577923,0.026163708422329734,NA,NA,NA,NA
00-02,00,02,FL,0.1639053870809753,0.01738184439323901,NA,NA,NA,NA
00-02,00,02,FL05,0.06256083891693165,0.01822232634048379,NA,NA,NA,NA
00-02,00,02,IA,NA,NA,NA,NA,NA,NA
00-02,00,02,IL,0.12031035956309871,0.014316326899354668,NA,NA,NA,NA
00-02,00,02,KY,NA,NA,NA,NA,NA,NA
00-02,00,02,MI,0.12881505758002015,0.01217387256514868,NA,NA,NA,NA
00-02,00,02,MO,0.10965068773719115,0.0150762722735959,NA,NA,NA,NA
00-02,00,02,MO05,0.10171984110213865,0.012785078723336452,NA,NA,NA,NA
00-02,00,02,MT,0.13783273413175906,0.053426444135544836,NA,NA,NA,NA
00-02,00,02,NJ,NA,NA,NA,NA,NA,NA
00-02,00,02,NV,0.237696639387891,0.0510715637782503,NA,NA,NA,NA
00-02,00,02,NY,NA,NA,NA,NA,NA,NA
00-02,00,02,OK,0.15646813595677778,0.03589151989548133,NA,NA,NA,NA
00-02,00,02,OR,NA,NA,NA,NA,NA,NA
00-02,00,02,PA,NA,NA,NA,NA,NA,NA
00-02,00,02,RI,NA,NA,NA,NA,NA,NA
00-04,00,04,AR,0.23850457227105282,0.08949275678551508,NA,NA,NA,NA
00-04,00,04,CO,0.14314394938011807,0.05031410888075685,NA,NA,NA,NA
00-04,00,04,CT,0.28900468720022343,0.07413098763546298,NA,NA,NA,NA
00-04,00,04,FL,0.25002699878727874,0.03759294408679637,NA,NA,NA,NA
00-04,00,04,FL05,-0.07035245511666581,0.0699919033658856,NA,NA,NA,NA
00-04,00,04,IA,NA,NA,NA,NA,NA,NA
00-04,00,04,IL,0.12540947264241167,0.029865569462998013,NA,NA,NA,NA
00-04,00,04,KY,NA,NA,NA,NA,NA,NA
00-04,00,04,MI,NA,NA,NA,NA,NA,NA
00-04,00,04,MO,0.1681930999189745,0.03141880175968723,NA,NA,NA,NA
00-04,00,04,MO05,0.11119759555190659,0.021753463614189505,NA,NA,NA,NA
00-04,00,04,MT,0.2408688414276299,0.08385926921436444,NA,NA,NA,NA
00-04,00,04,NJ,NA,NA,NA,NA,NA,NA
00-04,00,04,NV,0.4071384641206963,0.09288565859558251,NA,NA,NA,NA
00-04,00,04,NY,NA,NA,NA,NA,NA,NA
00-04,00,04,OK,0.0748476600265595,0.07557465937822372,NA,NA,NA,NA
00-04,00,04,OR,NA,NA,NA,NA,NA,NA
00-04,00,04,PA,NA,NA,NA,NA,NA,NA
00-04,00,04,RI,NA,NA,NA,NA,NA,NA
02-04,02,04,AR,0.3258218961755514,0.15032801904065382,NA,NA,NA,NA
02-04,02,04,CO,0.142922177584648,0.09676873317325405,NA,NA,NA,NA
02-04,02,04,CT,0.08982246252470617,0.15579909432991748,NA,NA,NA,NA
02-04,02,04,FL,0.06418826748760449,0.06617913411451429,NA,NA,NA,NA
02-04,02,04,FL05,0.14050140786355536,0.11493145537827229,NA,NA,NA,NA
02-04,02,04,IA,NA,NA,NA,NA,NA,NA
02-04,02,04,IL,0.1853145156866115,0.07106558529928755,NA,NA,NA,NA
02-04,02,04,KY,NA,NA,NA,NA,NA,NA
02-04,02,04,MI,NA,NA,NA,NA,NA,NA
02-04,02,04,MO,0.24176984157601158,0.07493203244890743,NA,NA,NA,NA
02-04,02,04,MO05,0.1013429811458566,0.053511814081542416,NA,NA,NA,NA
02-04,02,04,MT,0.4254812046810978,0.0993343267742062,NA,NA,NA,NA
02-04,02,04,NJ,NA,NA,NA,NA,NA,NA
02-04,02,04,NV,0.38263566887321065,0.12151022261855213,NA,NA,NA,NA
02-04,02,04,NY,0.12961354656111995,0.07876267708474277,NA,NA,NA,NA
02-04,02,04,OK,0.395247642373735,0.1584152280423694,NA,NA,NA,NA
02-04,02,04,OR,NA,NA,NA,NA,NA,NA
02-04,02,04,PA,NA,NA,NA,NA,NA,NA
02-04,02,04,RI,NA,NA,NA,NA,NA,NA
02-06,02,06,AR,0.14742718614155162,0.10011556201931204,NA,NA,NA,NA
02-06,02,06,CO,0.20195616119718318,0.06624946829772047,NA,NA,NA,NA
02-06,02,06,CT,0.2347832247598417,0.10092634152930935,NA,NA,NA,NA
02-06,02,06,FL,0.24394588196789635,0.0702310395079486,NA,NA,NA,NA
02-06,02,06,FL05,NA,NA,NA,NA,NA,NA
02-06,02,06,IA,NA,NA,NA,NA,NA,NA
02-06,02,06,IL,0.17763373599847407,0.039810963998020164,NA,NA,NA,NA
02-06,02,06,KY,NA,NA,NA,NA,NA,NA
02-06,02,06,MI,NA,NA,NA,NA,NA,NA
02-06,02,06,MO,0.28631255670415245,0.05391935327846827,NA,NA,NA,NA
02-06,02,06,MO05,NA,NA,NA,NA,NA,NA
02-06,02,06,MT,0.27239726425236016,0.10424674876396038,NA,NA,NA,NA
02-06,02,06,NJ,NA,NA,NA,NA,NA,NA
02-06,02,06,NV,0.23796737107284247,0.07498735127266444,NA,NA,NA,NA
02-06,02,06,NY,0.287975304495868,0.03643823087929892,NA,NA,NA,NA
02-06,02,06,OK,0.0784835724479242,0.09314156246909522,NA,NA,NA,NA
02-06,02,06,OR,NA,NA,NA,NA,NA,NA
02-06,02,06,PA,NA,NA,NA,NA,NA,NA
02-06,02,06,RI,NA,NA,NA,NA,NA,NA
04-06,04,06,AR,0.1572570448590578,0.018609613522236303,NA,NA,NA,NA
04-06,04,06,CO,0.14787808764338184,0.011443584231769529,NA,NA,NA,NA
04-06,04,06,CT,0.11256072308620343,0.011858657021303341,NA,NA,NA,NA
04-06,04,06,FL,0.22335391776472435,0.013069863946752972,NA,NA,NA,NA
04-06,04,06,FL05,NA,NA,NA,NA,NA,NA
04-06,04,06,IA,0.14247346945888464,0.04849834301035739,NA,NA,NA,NA
04-06,04,06,IL,0.09708883776061235,0.007774739972677401,NA,NA,NA,NA
04-06,04,06,KY,NA,NA,NA,NA,NA,NA
04-06,04,06,MI,NA,NA,NA,NA,NA,NA
04-06,04,06,MO,0.09452674809785759,0.012397419290734794,NA,NA,NA,NA
04-06,04,06,MO05,NA,NA,NA,NA,NA,NA
04-06,04,06,MT,0.20475030894044707,0.037817136650383096,NA,NA,NA,NA
04-06,04,06,NJ,0.08138409613256421,0.007446869409317147,NA,NA,NA,NA
04-06,04,06,NV,0.14962997885177798,0.018807096162404904,NA,NA,NA,NA
04-06,04,06,NY,0.07496509286703797,0.00574767016965957,NA,NA,NA,NA
04-06,04,06,OK,0.11248728223555449,0.01707807890539186,NA,NA,NA,NA
04-06,04,06,OR,NA,NA,NA,NA,NA,NA
04-06,04,06,PA,0.2534910230272881,0.016471620103792297,NA,NA,NA,NA
04-06,04,06,RI,NA,NA,NA,NA,NA,NA
04-08,04,08,AR,0.22113724362956502,0.043288237135632,NA,NA,NA,NA
04-08,04,08,CO,0.09084277463560501,0.024728724555287004,NA,NA,NA,NA
04-08,04,08,CT,0.16054558750634007,0.02944014936206968,NA,NA,NA,NA
04-08,04,08,FL,0.08122525960607602,0.02007540734060706,NA,NA,NA,NA
04-08,04,08,FL05,NA,NA,NA,NA,NA,NA
04-08,04,08,IA,-0.023963790593659162,0.09507386564711555,NA,NA,NA,NA
04-08,04,08,IL,0.08112983068883578,0.019986287757485184,NA,NA,NA,NA
04-08,04,08,KY,NA,NA,NA,NA,NA,NA
04-08,04,08,MI,NA,NA,NA,NA,NA,NA
04-08,04,08,MO,0.07890282765665375,0.02224908925363127,NA,NA,NA,NA
04-08,04,08,MO05,NA,NA,NA,NA,NA,NA
04-08,04,08,MT,0.22246058141721323,0.06195498160166202,NA,NA,NA,NA
04-08,04,08,NJ,0.12419244440371881,0.02058316382955697,NA,NA,NA,NA
04-08,04,08,NV,0.11649504840450177,0.036977030073359105,NA,NA,NA,NA
04-08,04,08,NY,0.13153842058272722,0.012808234101910647,NA,NA,NA,NA
04-08,04,08,OK,0.16368587359975972,0.0384745937755787,NA,NA,NA,NA
04-08,04,08,OR,NA,NA,NA,NA,NA,NA
04-08,04,08,PA,0.2032357245546952,0.050394812705053305,NA,NA,NA,NA
04-08,04,08,RI,NA,NA,NA,NA,NA,NA
06-08,06,08,AR,0.3299627612087519,0.11656447358056858,NA,NA,NA,NA
06-08,06,08,CO,0.08801329657866112,0.0787577677722887,NA,NA,NA,NA
06-08,06,08,CT,0.2307898127077814,0.09169883110603338,NA,NA,NA,NA
06-08,06,08,FL,0.02365366910477394,0.03837214283380537,NA,NA,NA,NA
06-08,06,08,FL05,NA,NA,NA,NA,NA,NA
06-08,06,08,IA,0.2276631160111952,0.06713838794706316,NA,NA,NA,NA
06-08,06,08,IL,0.23799227978521842,0.06679462739835029,NA,NA,NA,NA
06-08,06,08,KY,NA,NA,NA,NA,NA,NA
06-08,06,08,MI,NA,NA,NA,NA,NA,NA
06-08,06,08,MO,0.1292207235002773,0.04536263533159593,NA,NA,NA,NA
06-08,06,08,MO05,NA,NA,NA,NA,NA,NA
06-08,06,08,MT,0.1880579858028027,0.05932544886880104,NA,NA,NA,NA
06-08,06,08,NJ,0.28137546443398376,0.09178180498256333,NA,NA,NA,NA
06-08,06,08,NV,0.5669414780583004,0.12880721206075202,NA,NA,NA,NA
06-08,06,08,NY,0.1562873555993812,0.06474223608749927,NA,NA,NA,NA
06-08,06,08,OK,0.22879424899912268,0.1155490283358551,NA,NA,NA,NA
06-08,06,08,OR,0.2579331838835608,0.05951194031278187,NA,NA,NA,NA
06-08,06,08,PA,0.22635484054690563,0.10154310514543158,NA,NA,NA,NA
06-08,06,08,RI,NA,NA,NA,NA,NA,NA
06-10,06,10,AR,0.21176893475776148,0.06499176310035433,NA,NA,NA,NA
06-10,06,10,CO,NA,NA,NA,NA,NA,NA
06-10,06,10,CT,0.209055983464189,0.04570478443090635,NA,NA,NA,NA
06-10,06,10,FL,0.0508769241861351,0.01857507347754585,NA,NA,NA,NA
06-10,06,10,FL05,NA,NA,NA,NA,NA,NA
06-10,06,10,IA,0.0965039243796704,0.04467155976423959,NA,NA,NA,NA
06-10,06,10,IL,0.1830167552522255,0.0357210891784805,NA,NA,NA,NA
06-10,06,10,KY,NA,NA,NA,NA,NA,NA
06-10,06,10,MI,NA,NA,NA,NA,NA,NA
06-10,06,10,MO,0.05965054278543587,0.022559032438747743,NA,NA,NA,NA
06-10,06,10,MO05,NA,NA,NA,NA,NA,NA
06-10,06,10,MT,0.08629496870787023,0.039288665134126134,NA,NA,NA,NA
06-10,06,10,NJ,0.2589046147885208,0.037603099252664494,NA,NA,NA,NA
06-10,06,10,NV,0.16790470171421457,0.07804501406725033,NA,NA,NA,NA
06-10,06,10,NY,0.18288087544177456,0.024661879075400135,NA,NA,NA,NA
06-10,06,10,OK,0.10689551531592963,0.06704090353594472,NA,NA,NA,NA
06-10,06,10,OR,0.20304593208115185,0.03991079142792908,NA,NA,NA,NA
06-10,06,10,PA,0.07251160422711808,0.040502807962496355,NA,NA,NA,NA
06-10,06,10,RI,NA,NA,NA,NA,NA,NA
08-10,08,10,AR,0.1062013135906412,0.01521162010281182,NA,NA,NA,NA
08-10,08,10,CO,NA,NA,NA,NA,NA,NA
08-10,08,10,CT,0.08323841425040651,0.008982907228782346,NA,NA,NA,NA
08-10,08,10,FL,0.08165206271337826,0.005357167282340886,NA,NA,NA,NA
08-10,08,10,FL05,NA,NA,NA,NA,NA,NA
08-10,08,10,IA,0.037922887869955416,0.0189694261710057,NA,NA,NA,NA
08-10,08,10,IL,0.0956709294820473,0.006002056585659916,NA,NA,NA,NA
08-10,08,10,KY,0.1167353628022306,0.01178808964237303,NA,NA,NA,NA
08-10,08,10,MI,NA,NA,NA,NA,NA,NA
08-10,08,10,MO,0.09035277215719369,0.008736562048879475,NA,NA,NA,NA
08-10,08,10,MO05,NA,NA,NA,NA,NA,NA
08-10,08,10,MT,0.12159293906524908,0.017302116660202673,NA,NA,NA,NA
08-10,08,10,NJ,0.08549061009050193,0.005090479717242183,NA,NA,NA,NA
08-10,08,10,NV,0.1693744921214285,0.015071944085025858,NA,NA,NA,NA
08-10,08,10,NY,0.0604687345233627,0.0048866736020162374,NA,NA,NA,NA
08-10,08,10,OK,0.11396008833248181,0.012219577054353881,NA,NA,NA,NA
08-10,08,10,OR,0.1022861344161242,0.015892686546530185,NA,NA,NA,NA
08-10,08,10,PA,0.13246085180102188,0.006421045701135636,NA,NA,NA,NA
08-10,08,10,RI,0.0664065474977969,0.01662815610315171,NA,NA,NA,NA
08-12,08,12,AR,0.1995936797491559,0.027216190627520707,NA,NA,NA,NA
08-12,08,12,CO,NA,NA,NA,NA,NA,NA
08-12,08,12,CT,0.16088117698592838,0.01544516217674209,NA,NA,NA,NA
08-12,08,12,FL,0.1045467860847226,0.012436625313678425,NA,NA,NA,NA
08-12,08,12,FL05,NA,NA,NA,NA,NA,NA
08-12,08,12,IA,0.08131341839990235,0.03533212594536385,NA,NA,NA,NA
08-12,08,12,IL,0.07969366442319782,0.01314870487813462,NA,NA,NA,NA
08-12,08,12,KY,0.07531628033394433,0.02149576376950299,NA,NA,NA,NA
08-12,08,12,MI,NA,NA,NA,NA,NA,NA
08-12,08,12,MO,0.15530639563802112,0.01709406656921531,NA,NA,NA,NA
08-12,08,12,MO05,NA,NA,NA,NA,NA,NA
08-12,08,12,MT,0.11135453293398077,0.029124947557456593,NA,NA,NA,NA
08-12,08,12,NJ,0.15478506132150377,0.013747216716300793,NA,NA,NA,NA
08-12,08,12,NV,0.17409599254912547,0.02661113046220379,NA,NA,NA,NA
08-12,08,12,NY,0.0680079671231753,0.012710814206265008,NA,NA,NA,NA
08-12,08,12,OK,0.13754909160643755,0.023174141860235545,NA,NA,NA,NA
08-12,08,12,OR,0.10769600602535441,0.02484223400318444,NA,NA,NA,NA
08-12,08,12,PA,0.12067562659577158,0.019288527472483323,NA,NA,NA,NA
08-12,08,12,RI,0.1130818089526145,0.030049309146931574,NA,NA,NA,NA
10-12,10,12,AR,0.1996556544615103,0.12313103566879215,NA,NA,NA,NA
10-12,10,12,CO,NA,NA,NA,NA,NA,NA
10-12,10,12,CT,0.09739084416609074,0.06257385526578661,NA,NA,NA,NA
10-12,10,12,FL,0.013564165474103015,0.06170069635262178,NA,NA,NA,NA
10-12,10,12,FL05,NA,NA,NA,NA,NA,NA
10-12,10,12,IA,0.08577306314148078,0.06640013060346238,NA,NA,NA,NA
10-12,10,12,IL,0.04131400174189868,0.05865421169106682,NA,NA,NA,NA
10-12,10,12,KY,0.23520015990583296,0.05164369006533422,NA,NA,NA,NA
10-12,10,12,MI,NA,NA,NA,NA,NA,NA
10-12,10,12,MO,0.025480449848869154,0.06866584891171112,NA,NA,NA,NA
10-12,10,12,MO05,NA,NA,NA,NA,NA,NA
10-12,10,12,MT,0.16525066555879395,0.09100494476042655,NA,NA,NA,NA
10-12,10,12,NJ,-0.13823890451436252,0.11824959829304268,NA,NA,NA,NA
10-12,10,12,NV,0.287469351545881,0.08800188418999615,NA,NA,NA,NA
10-12,10,12,NY,0.03642787150898044,0.09634339910536334,NA,NA,NA,NA
10-12,10,12,OK,0.14910656544003104,0.08961008175960064,NA,NA,NA,NA
10-12,10,12,OR,0.11771234874588034,0.05348598275360194,NA,NA,NA,NA
10-12,10,12,PA,0.10447847104556493,0.12838122756727235,NA,NA,NA,NA
10-12,10,12,RI,0.2387125624298623,0.11727640780730623,NA,NA,NA,NA
92-94,92,94,AR,NA,NA,NA,NA,NA,NA
92-94,92,94,CO,0.15613620314051183,0.030649085489749445,NA,NA,NA,NA
92-94,92,94,CT,NA,NA,NA,NA,NA,NA
92-94,92,94,FL,0.1835835761715878,0.023608104329147884,NA,NA,NA,NA
92-94,92,94,FL05,0.15518650235943313,0.020599741075634104,NA,NA,NA,NA
92-94,92,94,IA,NA,NA,NA,NA,NA,NA
92-94,92,94,IL,0.10014945037266773,0.01943338210234129,NA,NA,NA,NA
92-94,92,94,KY,NA,NA,NA,NA,NA,NA
92-94,92,94,MI,NA,NA,NA,NA,NA,NA
92-94,92,94,MO,0.21512104971976057,0.03726774996979953,NA,NA,NA,NA
92-94,92,94,MO05,0.2156411006560431,0.033570768721500714,NA,NA,NA,NA
92-94,92,94,MT,NA,NA,NA,NA,NA,NA
92-94,92,94,NJ,NA,NA,NA,NA,NA,NA
92-94,92,94,NV,NA,NA,NA,NA,NA,NA
92-94,92,94,NY,NA,NA,NA,NA,NA,NA
92-94,92,94,OK,NA,NA,NA,NA,NA,NA
92-94,92,94,OR,NA,NA,NA,NA,NA,NA
92-94,92,94,PA,NA,NA,NA,NA,NA,NA
92-94,92,94,RI,NA,NA,NA,NA,NA,NA
92-96,92,96,AR,NA,NA,NA,NA,NA,NA
92-96,92,96,CO,0.09059042420600245,0.06283022012304477,NA,NA,NA,NA
92-96,92,96,CT,NA,NA,NA,NA,NA,NA
92-96,92,96,FL,0.24020904167902501,0.044787097246016705,NA,NA,NA,NA
92-96,92,96,FL05,0.25341369812405046,0.05094313976361847,NA,NA,NA,NA
92-96,92,96,IA,NA,NA,NA,NA,NA,NA
92-96,92,96,IL,0.1868088420824016,0.034647985464609996,NA,NA,NA,NA
92-96,92,96,KY,NA,NA,NA,NA,NA,NA
92-96,92,96,MI,NA,NA,NA,NA,NA,NA
92-96,92,96,MO,0.3244415885032541,0.05767196690438749,NA,NA,NA,NA
92-96,92,96,MO05,0.31217409920100775,0.05174812057786844,NA,NA,NA,NA
92-96,92,96,MT,NA,NA,NA,NA,NA,NA
92-96,92,96,NJ,NA,NA,NA,NA,NA,NA
92-96,92,96,NV,NA,NA,NA,NA,NA,NA
92-96,92,96,NY,NA,NA,NA,NA,NA,NA
92-96,92,96,OK,NA,NA,NA,NA,NA,NA
92-96,92,96,OR,NA,NA,NA,NA,NA,NA
92-96,92,96,PA,NA,NA,NA,NA,NA,NA
92-96,92,96,RI,NA,NA,NA,NA,NA,NA
94-96,94,96,AR,NA,NA,NA,NA,NA,NA
94-96,94,96,CO,-0.010891422528734538,0.10665164903852706,NA,NA,NA,NA
94-96,94,96,CT,NA,NA,NA,NA,NA,NA
94-96,94,96,FL,-0.046522221258664245,0.10407756553185991,NA,NA,NA,NA
94-96,94,96,FL05,-0.02991623473477635,0.12033977724233655,NA,NA,NA,NA
94-96,94,96,IA,NA,NA,NA,NA,NA,NA
94-96,94,96,IL,0.09856716285775927,0.08221275592490129,NA,NA,NA,NA
94-96,94,96,KY,NA,NA,NA,NA,NA,NA
94-96,94,96,MI,NA,NA,NA,NA,NA,NA
94-96,94,96,MO,0.16218221512088227,0.0852434525794344,NA,NA,NA,NA
94-96,94,96,MO05,0.24309710765683926,0.07394548123781942,NA,NA,NA,NA
94-96,94,96,MT,NA,NA,NA,NA,NA,NA
94-96,94,96,NJ,NA,NA,NA,NA,NA,NA
94-96,94,96,NV,NA,NA,NA,NA,NA,NA
94-96,94,96,NY,NA,NA,NA,NA,NA,NA
94-96,94,96,OK,NA,NA,NA,NA,NA,NA
94-96,94,96,OR,NA,NA,NA,NA,NA,NA
94-96,94,96,PA,NA,NA,NA,NA,NA,NA
94-96,94,96,RI,NA,NA,NA,NA,NA,NA
94-98,94,98,AR,NA,NA,NA,NA,NA,NA
94-98,94,98,CO,-0.029331322689979143,0.10206279233172981,NA,NA,NA,NA
94-98,94,98,CT,NA,NA,NA,NA,NA,NA
94-98,94,98,FL,0.06638722257365018,0.07316258244071239,NA,NA,NA,NA
94-98,94,98,FL05,0.07352727578473611,0.07073056957550299,NA,NA,NA,NA
94-98,94,98,IA,NA,NA,NA,NA,NA,NA
94-98,94,98,IL,0.16820648864998214,0.07250663853801584,NA,NA,NA,NA
94-98,94,98,KY,NA,NA,NA,NA,NA,NA
94-98,94,98,MI,NA,NA,NA,NA,NA,NA
94-98,94,98,MO,0.05168689316890578,0.060834936852513455,NA,NA,NA,NA
94-98,94,98,MO05,0.10134193373634443,0.06670104648910233,NA,NA,NA,NA
94-98,94,98,MT,NA,NA,NA,NA,NA,NA
94-98,94,98,NJ,NA,NA,NA,NA,NA,NA
94-98,94,98,NV,NA,NA,NA,NA,NA,NA
94-98,94,98,NY,NA,NA,NA,NA,NA,NA
94-98,94,98,OK,NA,NA,NA,NA,NA,NA
94-98,94,98,OR,NA,NA,NA,NA,NA,NA
94-98,94,98,PA,NA,NA,NA,NA,NA,NA
94-98,94,98,RI,NA,NA,NA,NA,NA,NA
96-00,96,00,AR,0.24610220525228657,0.09618705913199592,NA,NA,NA,NA
96-00,96,00,CO,0.15807526578262343,0.057261290789727304,NA,NA,NA,NA
96-00,96,00,CT,NA,NA,NA,NA,NA,NA
96-00,96,00,FL,0.1888433479641633,0.039062886821879715,NA,NA,NA,NA
96-00,96,00,FL05,0.11100326208779619,0.04015937216421691,NA,NA,NA,NA
96-00,96,00,IA,NA,NA,NA,NA,NA,NA
96-00,96,00,IL,0.14364078472787445,0.04281745949749313,NA,NA,NA,NA
96-00,96,00,KY,NA,NA,NA,NA,NA,NA
